"CIRCOSCRIZIONE";"LISTA";"VOTILISTA";"SEGGILISTA"
"SICILIA 1";"POTERE AL POPOLO!";8395,00;
"SICILIA 2";"CASAPOUND ITALIA";7901,00;
"SICILIA 2";"PARTITO DEMOCRATICO";160812,00;2,00
"SICILIA 2";"+EUROPA";14179,00;
"SICILIA 2";"ITALIA EUROPA INSIEME";5052,00;
"SICILIA 2";"CIVICA POPOLARE LORENZIN";8286,00;
"SICILIA 2";"IL POPOLO DELLA FAMIGLIA";10021,00;
"SICILIA 2";"ITALIA AGLI ITALIANI";4902,00;
"SICILIA 2";"LIBERI E UGUALI";34218,00;1,00
"SICILIA 2";"LISTA DEL POPOLO PER LA COSTITUZIONE";1372,00;
"SICILIA 2";"LEGA";65896,00;1,00
"SICILIA 2";"FORZA ITALIA";263589,00;3,00
"SICILIA 2";"FRATELLI D'ITALIA CON GIORGIA MELONI";48345,00;1,00
"SICILIA 2";"NOI CON L'ITALIA - UDC";22872,00;
"SICILIA 2";"MOVIMENTO 5 STELLE";642504,00;6,00
"SICILIA 2";"PARTITO COMUNISTA";3908,00;
"SICILIA 2";"PARTITO VALORE UMANO";1624,00;
"SICILIA 2";"POTERE AL POPOLO!";8697,00;
"SARDEGNA";"AUTODETERMINATZIONE";19307,00;
"SARDEGNA";"CASAPOUND ITALIA";7645,00;
"SARDEGNA";"PARTITO DEMOCRATICO";128884,00;2,00
"SARDEGNA";"+EUROPA";17030,00;
"SARDEGNA";"ITALIA EUROPA INSIEME";4456,00;
"SARDEGNA";"CIVICA POPOLARE LORENZIN";3144,00;
"SARDEGNA";"IL POPOLO DELLA FAMIGLIA";5937,00;
"SARDEGNA";"LIBERI E UGUALI";27235,00;
"SARDEGNA";"LEGA";93771,00;1,00
"SARDEGNA";"FORZA ITALIA";128503,00;2,00
"SARDEGNA";"FRATELLI D'ITALIA CON GIORGIA MELONI";34963,00;1,00
"SARDEGNA";"NOI CON L'ITALIA - UDC";12584,00;
"SARDEGNA";"MOVIMENTO 5 STELLE";369196,00;5,00
"SARDEGNA";"PARTITO COMUNISTA";5301,00;
"SARDEGNA";"PARTITO VALORE UMANO";3159,00;
"SARDEGNA";"POTERE AL POPOLO!";7885,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"CASAPOUND ITALIA";8060,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"PARTITO DEMOCRATICO";81671,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"+EUROPA";14162,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"ITALIA EUROPA INSIEME";3577,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"CIVICA POPOLARE LORENZIN";7473,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"SVP - PATT";134651,00;2,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"IL POPOLO DELLA FAMIGLIA";4897,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"LIBERI E UGUALI";21805,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"LEGA";106982,00;2,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"FORZA ITALIA";38938,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"FRATELLI D'ITALIA CON GIORGIA MELONI";14660,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"NOI CON L'ITALIA - UDC";2705,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"MOVIMENTO 5 STELLE";108686,00;1,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"PARTITO VALORE UMANO";3123,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"POTERE AL POPOLO!";5704,00;
