"CIRCOSCRIZIONE";"COLLPLURINOM";"LISTA";"TOTVOTI";"SEGGILISTA"
"VENETO 2";"VENETO 2 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";24573,00;
"VENETO 2";"VENETO 2 - 02";"NOI CON L'ITALIA - UDC";5500,00;
"VENETO 2";"VENETO 2 - 02";"MOVIMENTO 5 STELLE";119425,00;1,00
"VENETO 2";"VENETO 2 - 02";"PARTITO DEMOCRATICO";80210,00;1,00
"VENETO 2";"VENETO 2 - 02";"+EUROPA";13778,00;
"VENETO 2";"VENETO 2 - 02";"ITALIA EUROPA INSIEME";2086,00;
"VENETO 2";"VENETO 2 - 02";"CIVICA POPOLARE LORENZIN";1647,00;
"VENETO 2";"VENETO 2 - 02";"LIBERI E UGUALI";11836,00;
"VENETO 2";"VENETO 2 - 02";"POTERE AL POPOLO!";3438,00;
"VENETO 2";"VENETO 2 - 02";"CASAPOUND ITALIA";5004,00;
"VENETO 2";"VENETO 2 - 02";"IL POPOLO DELLA FAMIGLIA";4333,00;
"VENETO 2";"VENETO 2 - 02";"ITALIA AGLI ITALIANI";3218,00;
"VENETO 2";"VENETO 2 - 02";"PARTITO VALORE UMANO";2290,00;
"VENETO 2";"VENETO 2 - 02";"10 VOLTE MEGLIO";1737,00;
"VENETO 2";"VENETO 2 - 02";"PARTITO REPUBBLICANO ITALIANO - ALA";493,00;
"VENETO 2";"VENETO 2 - 02";"GRANDE NORD";2154,00;
"VENETO 2";"VENETO 2 - 03";"LEGA";208027,00;3,00
"VENETO 2";"VENETO 2 - 03";"FORZA ITALIA";74902,00;1,00
"VENETO 2";"VENETO 2 - 03";"FRATELLI D'ITALIA CON GIORGIA MELONI";30785,00;1,00
"VENETO 2";"VENETO 2 - 03";"NOI CON L'ITALIA - UDC";12595,00;
"VENETO 2";"VENETO 2 - 03";"MOVIMENTO 5 STELLE";158583,00;2,00
"VENETO 2";"VENETO 2 - 03";"PARTITO DEMOCRATICO";106031,00;2,00
"VENETO 2";"VENETO 2 - 03";"+EUROPA";16198,00;
"VENETO 2";"VENETO 2 - 03";"ITALIA EUROPA INSIEME";2825,00;
"VENETO 2";"VENETO 2 - 03";"CIVICA POPOLARE LORENZIN";3198,00;
"VENETO 2";"VENETO 2 - 03";"LIBERI E UGUALI";16489,00;
"VENETO 2";"VENETO 2 - 03";"POTERE AL POPOLO!";4208,00;
"VENETO 2";"VENETO 2 - 03";"CASAPOUND ITALIA";10034,00;
"VENETO 2";"VENETO 2 - 03";"IL POPOLO DELLA FAMIGLIA";10795,00;
"VENETO 2";"VENETO 2 - 03";"ITALIA AGLI ITALIANI";6100,00;
"VENETO 2";"VENETO 2 - 03";"10 VOLTE MEGLIO";2913,00;
"VENETO 2";"VENETO 2 - 03";"PARTITO REPUBBLICANO ITALIANO - ALA";642,00;
"VENETO 2";"VENETO 2 - 03";"GRANDE NORD";2811,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"LEGA";178194,00;2,00
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"FORZA ITALIA";73598,00;1,00
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";36598,00;1,00
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"NOI CON L'ITALIA - UDC";7753,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"MOVIMENTO 5 STELLE";169299,00;2,00
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"PARTITO DEMOCRATICO";129261,00;2,00
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"+EUROPA";23525,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"ITALIA EUROPA INSIEME";3288,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"CIVICA POPOLARE LORENZIN";2929,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"LIBERI E UGUALI";22079,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"POTERE AL POPOLO!";5935,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"CASAPOUND ITALIA";8775,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"IL POPOLO DELLA FAMIGLIA";4847,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"ITALIA AGLI ITALIANI";5610,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"PARTITO VALORE UMANO";2839,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"10 VOLTE MEGLIO";1929,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"PER UNA SINISTRA RIVOLUZIONARIA";1889,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"LISTA DEL POPOLO PER LA COSTITUZIONE";865,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"PATTO PER L'AUTONOMIA";7079,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"BLOCCO NAZIONALE PER LE LIBERTA'";642,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"SIAMO";1428,00;
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";"RINASCIMENTO MIR";772,00;
"LIGURIA";"LIGURIA - 01";"LEGA";88027,00;1,00
"LIGURIA";"LIGURIA - 01";"FORZA ITALIA";53083,00;
"LIGURIA";"LIGURIA - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";14995,00;
"LIGURIA";"LIGURIA - 01";"NOI CON L'ITALIA - UDC";2474,00;
"LIGURIA";"LIGURIA - 01";"MOVIMENTO 5 STELLE";130668,00;2,00
"LIGURIA";"LIGURIA - 01";"PARTITO DEMOCRATICO";80329,00;1,00
"LIGURIA";"LIGURIA - 01";"+EUROPA";11583,00;
"LIGURIA";"LIGURIA - 01";"ITALIA EUROPA INSIEME";2187,00;
"LIGURIA";"LIGURIA - 01";"CIVICA POPOLARE LORENZIN";1220,00;
"LIGURIA";"LIGURIA - 01";"LIBERI E UGUALI";16427,00;
"LIGURIA";"LIGURIA - 01";"POTERE AL POPOLO!";5587,00;
"LIGURIA";"LIGURIA - 01";"CASAPOUND ITALIA";4096,00;
"LIGURIA";"LIGURIA - 01";"IL POPOLO DELLA FAMIGLIA";2339,00;
"LIGURIA";"LIGURIA - 01";"PARTITO COMUNISTA";2486,00;
"LIGURIA";"LIGURIA - 01";"PARTITO VALORE UMANO";1037,00;
"LIGURIA";"LIGURIA - 01";"10 VOLTE MEGLIO";933,00;
"LIGURIA";"LIGURIA - 01";"PER UNA SINISTRA RIVOLUZIONARIA";791,00;
"LIGURIA";"LIGURIA - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";328,00;
"LIGURIA";"LIGURIA - 02";"LEGA";83325,00;2,00
"LIGURIA";"LIGURIA - 02";"FORZA ITALIA";55824,00;1,00
"LIGURIA";"LIGURIA - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";17522,00;
"LIGURIA";"LIGURIA - 02";"NOI CON L'ITALIA - UDC";5394,00;
"LIGURIA";"LIGURIA - 02";"MOVIMENTO 5 STELLE";128596,00;1,00
"LIGURIA";"LIGURIA - 02";"PARTITO DEMOCRATICO";89437,00;1,00
"LIGURIA";"LIGURIA - 02";"+EUROPA";17546,00;
"LIGURIA";"LIGURIA - 02";"ITALIA EUROPA INSIEME";3066,00;
"LIGURIA";"LIGURIA - 02";"CIVICA POPOLARE LORENZIN";1703,00;
"LIGURIA";"LIGURIA - 02";"LIBERI E UGUALI";21656,00;1,00
"LIGURIA";"LIGURIA - 02";"POTERE AL POPOLO!";6274,00;
"LIGURIA";"LIGURIA - 02";"CASAPOUND ITALIA";4168,00;
"LIGURIA";"LIGURIA - 02";"IL POPOLO DELLA FAMIGLIA";1997,00;
"LIGURIA";"LIGURIA - 02";"PARTITO COMUNISTA";2634,00;
"LIGURIA";"LIGURIA - 02";"PARTITO VALORE UMANO";945,00;
"LIGURIA";"LIGURIA - 02";"10 VOLTE MEGLIO";911,00;
"LIGURIA";"LIGURIA - 02";"PER UNA SINISTRA RIVOLUZIONARIA";646,00;
"LIGURIA";"LIGURIA - 02";"PARTITO REPUBBLICANO ITALIANO - ALA";358,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"LEGA";120814,00;1,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"FORZA ITALIA";64941,00;1,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";20095,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"NOI CON L'ITALIA - UDC";4854,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"MOVIMENTO 5 STELLE";192331,00;2,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"PARTITO DEMOCRATICO";168813,00;2,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"+EUROPA";16623,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"ITALIA EUROPA INSIEME";4064,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"CIVICA POPOLARE LORENZIN";3358,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"LIBERI E UGUALI";23869,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"POTERE AL POPOLO!";5581,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"CASAPOUND ITALIA";4063,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"IL POPOLO DELLA FAMIGLIA";6180,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"ITALIA AGLI ITALIANI";3366,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"PARTITO COMUNISTA";5678,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"PER UNA SINISTRA RIVOLUZIONARIA";1017,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";3783,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"LEGA";126503,00;2,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"FORZA ITALIA";61629,00;1,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";19203,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"NOI CON L'ITALIA - UDC";3258,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"MOVIMENTO 5 STELLE";166570,00;2,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"PARTITO DEMOCRATICO";163206,00;2,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"+EUROPA";16325,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"ITALIA EUROPA INSIEME";4273,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"CIVICA POPOLARE LORENZIN";3918,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"LIBERI E UGUALI";24439,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"POTERE AL POPOLO!";5594,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"CASAPOUND ITALIA";3779,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"IL POPOLO DELLA FAMIGLIA";3719,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"ITALIA AGLI ITALIANI";2994,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"PER UNA SINISTRA RIVOLUZIONARIA";1933,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";"PARTITO REPUBBLICANO ITALIANO - ALA";811,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"LEGA";91292,00;1,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"FORZA ITALIA";53102,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"FRATELLI D'ITALIA CON GIORGIA MELONI";18415,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"NOI CON L'ITALIA - UDC";2638,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"MOVIMENTO 5 STELLE";152654,00;2,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"PARTITO DEMOCRATICO";167789,00;2,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"+EUROPA";23892,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"ITALIA EUROPA INSIEME";6120,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"CIVICA POPOLARE LORENZIN";3337,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"LIBERI E UGUALI";37048,00;1,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"POTERE AL POPOLO!";9925,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"CASAPOUND ITALIA";3276,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"IL POPOLO DELLA FAMIGLIA";3463,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"ITALIA AGLI ITALIANI";2339,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"PARTITO COMUNISTA";4719,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"PER UNA SINISTRA RIVOLUZIONARIA";1150,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03";"PARTITO REPUBBLICANO ITALIANO - ALA";780,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"LEGA";148388,00;2,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"FORZA ITALIA";72060,00;1,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"FRATELLI D'ITALIA CON GIORGIA MELONI";27072,00;1,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"NOI CON L'ITALIA - UDC";3785,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"MOVIMENTO 5 STELLE";186649,00;2,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"PARTITO DEMOCRATICO";169029,00;3,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"+EUROPA";21335,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"ITALIA EUROPA INSIEME";4936,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"CIVICA POPOLARE LORENZIN";3582,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"LIBERI E UGUALI";28458,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"POTERE AL POPOLO!";8425,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"CASAPOUND ITALIA";6127,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"IL POPOLO DELLA FAMIGLIA";3965,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"ITALIA AGLI ITALIANI";3260,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"PARTITO COMUNISTA";6436,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"PER UNA SINISTRA RIVOLUZIONARIA";1264,00;
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04";"PARTITO REPUBBLICANO ITALIANO - ALA";890,00;
"TOSCANA";"TOSCANA - 01";"LEGA";123462,00;1,00
"TOSCANA";"TOSCANA - 01";"FORZA ITALIA";74772,00;1,00
"TOSCANA";"TOSCANA - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";26437,00;1,00
"TOSCANA";"TOSCANA - 01";"NOI CON L'ITALIA - UDC";3818,00;
"TOSCANA";"TOSCANA - 01";"MOVIMENTO 5 STELLE";160222,00;2,00
"TOSCANA";"TOSCANA - 01";"PARTITO DEMOCRATICO";157832,00;2,00
"TOSCANA";"TOSCANA - 01";"+EUROPA";14888,00;
"TOSCANA";"TOSCANA - 01";"ITALIA EUROPA INSIEME";5081,00;
"TOSCANA";"TOSCANA - 01";"CIVICA POPOLARE LORENZIN";2694,00;
"TOSCANA";"TOSCANA - 01";"LIBERI E UGUALI";22580,00;
"TOSCANA";"TOSCANA - 01";"POTERE AL POPOLO!";9611,00;
"TOSCANA";"TOSCANA - 01";"CASAPOUND ITALIA";8254,00;
"TOSCANA";"TOSCANA - 01";"IL POPOLO DELLA FAMIGLIA";3174,00;
"TOSCANA";"TOSCANA - 01";"ITALIA AGLI ITALIANI";2367,00;
"TOSCANA";"TOSCANA - 01";"PARTITO COMUNISTA";5767,00;
"TOSCANA";"TOSCANA - 02";"LEGA";84356,00;1,00
"TOSCANA";"TOSCANA - 02";"FORZA ITALIA";40581,00;
"TOSCANA";"TOSCANA - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";17118,00;
"TOSCANA";"TOSCANA - 02";"NOI CON L'ITALIA - UDC";2173,00;
"TOSCANA";"TOSCANA - 02";"MOVIMENTO 5 STELLE";121065,00;1,00
"TOSCANA";"TOSCANA - 02";"PARTITO DEMOCRATICO";130326,00;2,00
"TOSCANA";"TOSCANA - 02";"+EUROPA";11115,00;
"TOSCANA";"TOSCANA - 02";"ITALIA EUROPA INSIEME";2887,00;
"TOSCANA";"TOSCANA - 02";"CIVICA POPOLARE LORENZIN";1566,00;
"TOSCANA";"TOSCANA - 02";"LIBERI E UGUALI";23486,00;
"TOSCANA";"TOSCANA - 02";"POTERE AL POPOLO!";11418,00;
"TOSCANA";"TOSCANA - 02";"CASAPOUND ITALIA";3700,00;
"TOSCANA";"TOSCANA - 02";"IL POPOLO DELLA FAMIGLIA";2162,00;
"TOSCANA";"TOSCANA - 02";"ITALIA AGLI ITALIANI";1630,00;
"TOSCANA";"TOSCANA - 02";"PARTITO COMUNISTA";5410,00;
"TOSCANA";"TOSCANA - 02";"PER UNA SINISTRA RIVOLUZIONARIA";904,00;
"TOSCANA";"TOSCANA - 03";"LEGA";75543,00;1,00
"TOSCANA";"TOSCANA - 03";"FORZA ITALIA";46285,00;1,00
"TOSCANA";"TOSCANA - 03";"FRATELLI D'ITALIA CON GIORGIA MELONI";23227,00;
"TOSCANA";"TOSCANA - 03";"NOI CON L'ITALIA - UDC";2971,00;
"TOSCANA";"TOSCANA - 03";"MOVIMENTO 5 STELLE";129419,00;2,00
"TOSCANA";"TOSCANA - 03";"PARTITO DEMOCRATICO";212274,00;3,00
"TOSCANA";"TOSCANA - 03";"+EUROPA";22672,00;
"TOSCANA";"TOSCANA - 03";"ITALIA EUROPA INSIEME";4410,00;
"TOSCANA";"TOSCANA - 03";"CIVICA POPOLARE LORENZIN";2600,00;
"TOSCANA";"TOSCANA - 03";"LIBERI E UGUALI";35435,00;1,00
"TOSCANA";"TOSCANA - 03";"POTERE AL POPOLO!";14620,00;
"TOSCANA";"TOSCANA - 03";"CASAPOUND ITALIA";4319,00;
"TOSCANA";"TOSCANA - 03";"IL POPOLO DELLA FAMIGLIA";2672,00;
"TOSCANA";"TOSCANA - 03";"PARTITO COMUNISTA";5779,00;
"TOSCANA";"TOSCANA - 03";"PER UNA SINISTRA RIVOLUZIONARIA";1142,00;
"TOSCANA";"TOSCANA - 04";"LEGA";88035,00;1,00
"TOSCANA";"TOSCANA - 04";"FORZA ITALIA";50643,00;1,00
"TOSCANA";"TOSCANA - 04";"FRATELLI D'ITALIA CON GIORGIA MELONI";22311,00;
"TOSCANA";"TOSCANA - 04";"NOI CON L'ITALIA - UDC";3232,00;
"TOSCANA";"TOSCANA - 04";"MOVIMENTO 5 STELLE";116307,00;2,00
"TOSCANA";"TOSCANA - 04";"PARTITO DEMOCRATICO";132075,00;2,00
"TOSCANA";"TOSCANA - 04";"+EUROPA";12907,00;
"TOSCANA";"TOSCANA - 04";"ITALIA EUROPA INSIEME";3423,00;
"TOSCANA";"TOSCANA - 04";"CIVICA POPOLARE LORENZIN";1758,00;
"TOSCANA";"TOSCANA - 04";"LIBERI E UGUALI";16190,00;
"TOSCANA";"TOSCANA - 04";"POTERE AL POPOLO!";6637,00;
"TOSCANA";"TOSCANA - 04";"CASAPOUND ITALIA";5977,00;
"TOSCANA";"TOSCANA - 04";"IL POPOLO DELLA FAMIGLIA";2531,00;
"TOSCANA";"TOSCANA - 04";"ITALIA AGLI ITALIANI";2027,00;
"TOSCANA";"TOSCANA - 04";"PARTITO COMUNISTA";5210,00;
"TOSCANA";"TOSCANA - 04";"PER UNA SINISTRA RIVOLUZIONARIA";1099,00;
"UMBRIA";"UMBRIA - 01";"LEGA";103056,00;1,00
"UMBRIA";"UMBRIA - 01";"FORZA ITALIA";57368,00;1,00
"UMBRIA";"UMBRIA - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";25146,00;
"UMBRIA";"UMBRIA - 01";"NOI CON L'ITALIA - UDC";2503,00;
"UMBRIA";"UMBRIA - 01";"MOVIMENTO 5 STELLE";140731,00;2,00
"UMBRIA";"UMBRIA - 01";"PARTITO DEMOCRATICO";126856,00;2,00
"UMBRIA";"UMBRIA - 01";"+EUROPA";9770,00;
"UMBRIA";"UMBRIA - 01";"ITALIA EUROPA INSIEME";1899,00;
"UMBRIA";"UMBRIA - 01";"CIVICA POPOLARE LORENZIN";2140,00;
"UMBRIA";"UMBRIA - 01";"LIBERI E UGUALI";15215,00;
"UMBRIA";"UMBRIA - 01";"POTERE AL POPOLO!";6733,00;
"UMBRIA";"UMBRIA - 01";"CASAPOUND ITALIA";6399,00;
"UMBRIA";"UMBRIA - 01";"IL POPOLO DELLA FAMIGLIA";3817,00;
"UMBRIA";"UMBRIA - 01";"ITALIA AGLI ITALIANI";2428,00;
"UMBRIA";"UMBRIA - 01";"PARTITO COMUNISTA";4521,00;
"UMBRIA";"UMBRIA - 01";"PARTITO VALORE UMANO";921,00;
"UMBRIA";"UMBRIA - 01";"10 VOLTE MEGLIO";1009,00;
"UMBRIA";"UMBRIA - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";767,00;
"MARCHE";"MARCHE - 01";"LEGA";82243,00;1,00
"MARCHE";"MARCHE - 01";"FORZA ITALIA";48066,00;1,00
"MARCHE";"MARCHE - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";23915,00;1,00
"MARCHE";"MARCHE - 01";"NOI CON L'ITALIA - UDC";4883,00;
"MARCHE";"MARCHE - 01";"MOVIMENTO 5 STELLE";160007,00;2,00
"MARCHE";"MARCHE - 01";"PARTITO DEMOCRATICO";86747,00;1,00
"MARCHE";"MARCHE - 01";"+EUROPA";7041,00;
"MARCHE";"MARCHE - 01";"ITALIA EUROPA INSIEME";1909,00;
"MARCHE";"MARCHE - 01";"CIVICA POPOLARE LORENZIN";2046,00;
"MARCHE";"MARCHE - 01";"LIBERI E UGUALI";11421,00;
"MARCHE";"MARCHE - 01";"POTERE AL POPOLO!";4982,00;
"MARCHE";"MARCHE - 01";"CASAPOUND ITALIA";6738,00;
"MARCHE";"MARCHE - 01";"IL POPOLO DELLA FAMIGLIA";4625,00;
"MARCHE";"MARCHE - 01";"PARTITO COMUNISTA";3708,00;
"MARCHE";"MARCHE - 01";"PARTITO VALORE UMANO";872,00;
"MARCHE";"MARCHE - 01";"LISTA DEL POPOLO PER LA COSTITUZIONE";455,00;
"MARCHE";"MARCHE - 02";"LEGA";71499,00;1,00
"MARCHE";"MARCHE - 02";"FORZA ITALIA";40239,00;
"MARCHE";"MARCHE - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";19374,00;
"MARCHE";"MARCHE - 02";"NOI CON L'ITALIA - UDC";3636,00;
"MARCHE";"MARCHE - 02";"MOVIMENTO 5 STELLE";156410,00;2,00
"MARCHE";"MARCHE - 02";"PARTITO DEMOCRATICO";103100,00;1,00
"MARCHE";"MARCHE - 02";"+EUROPA";10204,00;
"MARCHE";"MARCHE - 02";"ITALIA EUROPA INSIEME";3393,00;
"MARCHE";"MARCHE - 02";"CIVICA POPOLARE LORENZIN";1385,00;
"MARCHE";"MARCHE - 02";"LIBERI E UGUALI";14831,00;
"MARCHE";"MARCHE - 02";"POTERE AL POPOLO!";4871,00;
"MARCHE";"MARCHE - 02";"CASAPOUND ITALIA";3379,00;
"MARCHE";"MARCHE - 02";"IL POPOLO DELLA FAMIGLIA";3145,00;
"MARCHE";"MARCHE - 02";"PARTITO COMUNISTA";3911,00;
"MARCHE";"MARCHE - 02";"PARTITO VALORE UMANO";369,00;
"MARCHE";"MARCHE - 02";"LISTA DEL POPOLO PER LA COSTITUZIONE";533,00;
"LAZIO 1";"LAZIO 1 - 01";"LEGA";74830,00;1,00
"LAZIO 1";"LAZIO 1 - 01";"FORZA ITALIA";79547,00;1,00
"LAZIO 1";"LAZIO 1 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";67886,00;1,00
"LAZIO 1";"LAZIO 1 - 01";"NOI CON L'ITALIA - UDC";4355,00;
"LAZIO 1";"LAZIO 1 - 01";"MOVIMENTO 5 STELLE";201060,00;3,00
"LAZIO 1";"LAZIO 1 - 01";"PARTITO DEMOCRATICO";160526,00;2,00
"LAZIO 1";"LAZIO 1 - 01";"+EUROPA";36250,00;
"LAZIO 1";"LAZIO 1 - 01";"ITALIA EUROPA INSIEME";3994,00;
"LAZIO 1";"LAZIO 1 - 01";"CIVICA POPOLARE LORENZIN";3453,00;
"LAZIO 1";"LAZIO 1 - 01";"LIBERI E UGUALI";31307,00;
"LAZIO 1";"LAZIO 1 - 01";"POTERE AL POPOLO!";14382,00;
"LAZIO 1";"LAZIO 1 - 01";"CASAPOUND ITALIA";10681,00;
"LAZIO 1";"LAZIO 1 - 01";"IL POPOLO DELLA FAMIGLIA";4137,00;
"LAZIO 1";"LAZIO 1 - 01";"ITALIA AGLI ITALIANI";2128,00;
"LAZIO 1";"LAZIO 1 - 01";"PARTITO COMUNISTA";3839,00;
"LAZIO 1";"LAZIO 1 - 01";"10 VOLTE MEGLIO";2169,00;
"LAZIO 1";"LAZIO 1 - 01";"PER UNA SINISTRA RIVOLUZIONARIA";640,00;
"LAZIO 1";"LAZIO 1 - 01";"LISTA DEL POPOLO PER LA COSTITUZIONE";658,00;
"LAZIO 1";"LAZIO 1 - 01";"BLOCCO NAZIONALE PER LE LIBERTA'";450,00;
"LAZIO 1";"LAZIO 1 - 02";"LEGA";71745,00;1,00
"LAZIO 1";"LAZIO 1 - 02";"FORZA ITALIA";71836,00;1,00
"LAZIO 1";"LAZIO 1 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";62895,00;1,00
"LAZIO 1";"LAZIO 1 - 02";"NOI CON L'ITALIA - UDC";4161,00;
"LAZIO 1";"LAZIO 1 - 02";"MOVIMENTO 5 STELLE";222920,00;3,00
"LAZIO 1";"LAZIO 1 - 02";"PARTITO DEMOCRATICO";151156,00;2,00
"LAZIO 1";"LAZIO 1 - 02";"+EUROPA";32176,00;
"LAZIO 1";"LAZIO 1 - 02";"ITALIA EUROPA INSIEME";3709,00;
